Emiten,Tanggal,Sebab
BBCA,2021-04-21,Harga Selisih
BBCA,2021-04-22,Harga Selisih
BBCA,2021-04-23,Harga Selisih
BBCA,2021-04-26,Harga Selisih
BBCA,2021-04-27,Harga Selisih
BBCA,2021-04-28,Harga Selisih
BBCA,2021-04-29,Harga Selisih
BBCA,2021-04-30,Harga Selisih
BBCA,2021-05-03,Harga Selisih
BBCA,2021-05-04,Harga Selisih
BBCA,2021-05-05,Harga Selisih
BBCA,2021-05-06,Harga Selisih
BBCA,2021-05-07,Harga Selisih
BBCA,2021-05-10,Harga Selisih
BBCA,2021-05-11,Harga Selisih
BBCA,2021-05-17,Harga Selisih
BBCA,2021-05-18,Harga Selisih
BBCA,2021-05-19,Harga Selisih
BBCA,2021-05-20,Harga Selisih
BBCA,2021-05-21,Harga Selisih
BBCA,2021-05-24,Harga Selisih
BBCA,2021-05-25,Harga Selisih
BBCA,2021-05-27,Harga Selisih
BBCA,2021-05-28,Harga Selisih
BBCA,2021-05-31,Harga Selisih
BBCA,2021-06-02,Harga Selisih
BBCA,2021-06-03,Harga Selisih
BBCA,2021-06-04,Harga Selisih
BBCA,2021-06-07,Harga Selisih
BBCA,2021-06-08,Harga Selisih
BBCA,2021-06-09,Harga Selisih
BBCA,2021-06-10,Harga Selisih
BBCA,2021-06-11,Harga Selisih
BBCA,2021-06-14,Harga Selisih
BBCA,2021-06-15,Harga Selisih
BBCA,2021-06-16,Harga Selisih
BBCA,2021-06-17,Harga Selisih
BBCA,2021-06-18,Harga Selisih
BBCA,2021-06-21,Harga Selisih
BBCA,2021-06-22,Harga Selisih
BBCA,2021-06-23,Harga Selisih
BBCA,2021-06-24,Harga Selisih
BBCA,2021-06-25,Harga Selisih
BBCA,2021-06-28,Harga Selisih
BBCA,2021-06-29,Harga Selisih
BBCA,2021-06-30,Harga Selisih
BBCA,2021-07-01,Harga Selisih
BBCA,2021-07-02,Harga Selisih
BBCA,2021-07-05,Harga Selisih
BBCA,2021-07-06,Harga Selisih
BBCA,2021-07-07,Harga Selisih
BBCA,2021-07-08,Harga Selisih
BBCA,2021-07-09,Harga Selisih
BBCA,2021-07-12,Harga Selisih
BBCA,2021-07-13,Harga Selisih
BBCA,2021-07-14,Harga Selisih
BBCA,2021-07-15,Harga Selisih
BBCA,2021-07-16,Harga Selisih
BBCA,2021-07-19,Harga Selisih
BBCA,2021-07-21,Harga Selisih
BBCA,2021-07-22,Harga Selisih
BBCA,2021-07-23,Harga Selisih
BBCA,2021-07-26,Harga Selisih
BBCA,2021-07-27,Harga Selisih
BBCA,2021-07-28,Harga Selisih
BBCA,2021-07-29,Harga Selisih
BBCA,2021-07-30,Harga Selisih
BBCA,2021-08-02,Harga Selisih
BBCA,2021-08-03,Harga Selisih
BBCA,2021-08-04,Harga Selisih
BBCA,2021-08-05,Harga Selisih
BBCA,2021-08-06,Harga Selisih
BBCA,2021-08-09,Harga Selisih
BBCA,2021-08-10,Harga Selisih
BBCA,2021-08-12,Harga Selisih
BBCA,2021-08-13,Harga Selisih
BBCA,2021-08-16,Harga Selisih
BBCA,2021-08-18,Harga Selisih
BBCA,2021-08-19,Harga Selisih
BBCA,2021-08-20,Harga Selisih
BBCA,2021-08-23,Harga Selisih
BBCA,2021-08-24,Harga Selisih
BBCA,2021-08-25,Harga Selisih
BBCA,2021-08-26,Harga Selisih
BBCA,2021-08-27,Harga Selisih
BBCA,2021-08-30,Harga Selisih
BBCA,2021-08-31,Harga Selisih
BBCA,2021-09-01,Harga Selisih
BBCA,2021-09-02,Harga Selisih
BBCA,2021-09-03,Harga Selisih
BBCA,2021-09-06,Harga Selisih
